date,open,high,low,close,daily_ret
2017-12-22,10503.1,10537.27,10486.52,10537.27,0.0032533252087478814
2017-12-25,10546.64,10556.65,10514.54,10522.49,-0.00228982879855566
2017-12-26,10526.14,10528.92,10408.12,10421.91,-0.009902015363656536
2017-12-27,10419.81,10497.77,10419.81,10486.67,0.006416623719626369
2017-12-28,10513.29,10592.04,10513.29,10567.64,0.005169647179902537
2017-12-29,10590.95,10659.98,10590.95,10642.86,0.0049013544582874324
2018-01-02,10664.82,10710.73,10650.77,10710.73,0.004304807769845098
2018-01-03,10759.61,10813.16,10759.61,10801.57,0.003899769601314551
2018-01-04,10834.58,10853.46,10794.25,10848.63,0.0012967738481786117
2018-01-05,10856.92,10879.8,10815.68,10879.8,0.0021074116784500774
2018-01-08,10899.09,10918.47,10869.12,10915.75,0.0015285679813634712
2018-01-09,10922.35,10931.0,10860.77,10914.89,-0.000683003199860921
2018-01-10,10915.32,10934.75,10819.25,10831.09,-0.0077166771107031185
2018-01-11,10824.54,10844.08,10770.1,10810.06,-0.0013377011863784372
2018-01-12,10818.24,10899.98,10818.24,10883.96,0.006074925311325918
2018-01-15,10932.37,10962.55,10911.89,10956.31,0.0021898270914721962
2018-01-16,10955.81,10986.11,10920.5,10986.11,0.002765655848358195
2018-01-17,10976.13,11030.22,10942.95,11004.8,0.002612031745250931
2018-01-18,11048.06,11122.82,11048.06,11071.57,0.0021279754092573544
2018-01-19,11123.58,11150.85,11095.85,11150.85,0.0024515488718559464
2018-01-22,11169.79,11231.46,11142.38,11231.46,0.005521142295423553
2018-01-23,11243.49,11270.18,11201.52,11253.11,0.000855606221911609
2018-01-24,11228.71,11228.71,11107.32,11152.16,-0.006817345892805027
2018-01-25,11154.36,11268.61,11131.85,11165.95,0.001039055580060122
2018-01-26,11152.53,11178.3,11089.48,11147.1,-0.00048688503864147137
2018-01-29,11202.27,11246.18,11161.83,11221.81,0.0017442893270738224
2018-01-30,11189.57,11189.57,11076.78,11076.78,-0.01007992264224622
2018-01-31,11054.36,11158.29,11007.89,11103.79,0.004471538831736899
2018-02-01,11139.4,11212.1,11139.4,11160.25,0.001871734563800631
2018-02-02,11151.65,11153.32,11070.43,11126.23,-0.002279483305161145
2018-02-05,10970.3,10970.3,10855.43,10946.25,-0.0021922827999233396
2018-02-06,10761.01,10761.01,10300.4,10404.0,-0.033176253901817776
2018-02-07,10547.64,10697.82,10547.64,10551.54,0.0003697509585083303
2018-02-08,10559.44,10609.5,10512.93,10528.52,-0.0029281855855992633
2018-02-09,10371.01,10392.31,10189.04,10371.75,7.135274192182628e-05
2018-02-12,10429.09,10473.51,10416.01,10421.09,-0.0007670851435743753
2018-02-21,10559.79,10720.48,10559.79,10714.44,0.014645177602963688
2018-02-22,10698.47,10698.47,10620.8,10662.38,-0.0033733795580115356
2018-02-23,10688.97,10799.29,10688.97,10794.55,0.009877471823758421
2018-02-26,10827.98,10890.69,10827.98,10836.7,0.0008053210294072244
2018-02-27,10896.16,10937.9,10815.47,10815.47,-0.00740536115475543
2018-03-01,10779.1,10805.55,10709.69,10785.79,0.0006206455084376561
2018-03-02,10719.29,10719.29,10638.98,10698.17,-0.0019702797480057876
2018-03-05,10727.45,10756.37,10642.9,10642.9,-0.007881649413420844
2018-03-06,10711.15,10784.34,10711.15,10784.34,0.006833066477455851
2018-03-07,10762.99,10818.05,10745.32,10745.32,-0.0016417371009357362
2018-03-08,10788.43,10852.33,10788.43,10823.24,0.003226604797917698
2018-03-09,10847.74,10882.76,10845.38,10864.82,0.0015745215132367818
2018-03-12,10908.99,11016.56,10908.99,11002.1,0.00853516228358453
2018-03-13,11022.15,11095.63,11014.87,11095.63,0.006666575940265762
2018-03-14,11063.73,11070.29,11015.47,11038.8,-0.002253308784650465
2018-03-15,11039.6,11052.11,11008.18,11018.45,-0.0019158302837058994
2018-03-16,11010.24,11054.86,10933.46,11027.7,0.0015857964948993164
2018-03-19,11004.81,11066.0,10983.25,11046.9,0.003824691203210273
2018-03-20,11016.85,11020.78,10981.04,11010.84,-0.0005455279866749541
2018-03-21,11037.35,11072.31,11011.07,11011.07,-0.00238100631039162
2018-03-22,11045.9,11120.2,10975.33,11005.84,-0.0036266850143491514
2018-03-23,10863.67,10863.67,10758.06,10823.33,-0.0037132939421024025
2018-03-26,10783.57,10840.05,10781.43,10840.05,0.005237597567410379
2018-03-27,10901.69,10986.79,10901.69,10986.79,0.007806129141445073
2018-03-28,10939.97,10939.97,10853.48,10865.66,-0.006792523197047151
2018-03-29,10855.66,10889.6,10815.46,10845.92,-0.0008972278055870975
2018-03-30,10905.3,10969.22,10905.3,10906.22,8.4362649354075e-05
2018-03-31,10925.71,10947.16,10905.69,10919.49,-0.0005692993864928608
2018-04-02,10936.26,10969.88,10882.05,10888.27,-0.004388154634216823
